#HEADER#
dt: 5e-3
x: 0. 0.1  0.2  0.3  0.4  0.5  0.6  0.7  0.8  0.9  1.
#/HEADER#
   1.0000e+00   2.6795e-01   7.1797e-02   1.9238e-02   5.1548e-03   1.3812e-03   3.7009e-04   9.9130e-05   2.6435e-05   6.6087e-06        0e+00
   1.0000e+00   4.2265e-01   1.5470e-01   5.2559e-02   1.7059e-02   5.3684e-03   1.6521e-03   4.9963e-04   1.4822e-04   4.0358e-05        0e+00
   1.0000   0.8829   0.7675   0.6553   0.5475   0.4448   0.3475   0.2554   0.1676   0.0830        0
   1.0000   0.8837   0.7690   0.6574   0.5499   0.4474   0.3500   0.2575   0.1691   0.0838        0
   1.0000   0.8845   0.7705   0.6594   0.5523   0.4498   0.3523   0.2594   0.1705   0.0845        0
   1.0000   0.8852   0.7719   0.6613   0.5545   0.4522   0.3545   0.2613   0.1719   0.0852        0
   1.0000   0.8859   0.7732   0.6631   0.5566   0.4544   0.3566   0.2631   0.1732   0.0859        0
   1.0000   0.8866   0.7744   0.6648   0.5586   0.4565   0.3587   0.2649   0.1745   0.0866        0
   1.0000   0.8872   0.7756   0.6665   0.5606   0.4586   0.3606   0.2665   0.1757   0.0872        0
   1.0000   0.8878   0.7768   0.6680   0.5624   0.4605   0.3624   0.2681   0.1768   0.0878        0
   1.0000   0.8884   0.7779   0.6695   0.5642   0.4623   0.3642   0.2695   0.1779   0.0884        0
   1.0000   0.8889   0.7789   0.6709   0.5658   0.4641   0.3659   0.2710   0.1789   0.0889        0
   1.0000   0.8894   0.7799   0.6723   0.5674   0.4658   0.3674   0.2723   0.1799   0.0894        0
   1.0000   0.8899   0.7808   0.6736   0.5690   0.4674   0.3690   0.2736   0.1808   0.0899        0
   1.0000   0.8904   0.7817   0.6748   0.5704   0.4689   0.3704   0.2748   0.1817   0.0904        0
   1.0000   0.8908   0.7826   0.6760   0.5718   0.4703   0.3718   0.2760   0.1826   0.0908        0
   1.0000   0.8913   0.7834   0.6771   0.5731   0.4717   0.3731   0.2771   0.1834   0.0913        0
   1.0000   0.8917   0.7842   0.6782   0.5744   0.4730   0.3744   0.2782   0.1842   0.0917        0
   1.0000   0.8921   0.7849   0.6792   0.5756   0.4743   0.3756   0.2792   0.1849   0.0921        0
   1.0000   0.8924   0.7856   0.6802   0.5767   0.4755   0.3767   0.2802   0.1856   0.0924        0
   1.0000   0.8928   0.7863   0.6811   0.5778   0.4766   0.3778   0.2811   0.1863   0.0928        0
   1.0000   0.8931   0.7869   0.6820   0.5788   0.4777   0.3788   0.2820   0.1869   0.0931        0
   1.0000   0.8934   0.7875   0.6828   0.5798   0.4788   0.3798   0.2828   0.1875   0.0934        0
   1.0000   0.8937   0.7881   0.6836   0.5808   0.4798   0.3808   0.2836   0.1881   0.0937        0
   1.0000   0.8940   0.7887   0.6844   0.5817   0.4807   0.3817   0.2844   0.1887   0.0940        0
   1.0000   0.8943   0.7892   0.6851   0.5825   0.4816   0.3825   0.2851   0.1892   0.0943        0
   1.0000   0.8946   0.7897   0.6858   0.5833   0.4825   0.3833   0.2858   0.1897   0.0946        0
   1.0000   0.8948   0.7902   0.6865   0.5841   0.4833   0.3841   0.2865   0.1902   0.0948        0
   1.0000   0.8951   0.7906   0.6871   0.5848   0.4841   0.3848   0.2871   0.1906   0.0951        0
   1.0000   0.8953   0.7911   0.6877   0.5856   0.4848   0.3856   0.2877   0.1911   0.0953        0
   1.0000   0.8955   0.7915   0.6883   0.5862   0.4855   0.3862   0.2883   0.1915   0.0955        0
   1.0000   0.8957   0.7919   0.6888   0.5869   0.4862   0.3869   0.2888   0.1919   0.0957        0
   1.0000   0.8959   0.7923   0.6894   0.5875   0.4868   0.3875   0.2894   0.1923   0.0959        0
   1.0000   0.8961   0.7926   0.6898   0.5881   0.4875   0.3881   0.2898   0.1926   0.0961        0
   1.0000   0.8963   0.7930   0.6903   0.5886   0.4880   0.3886   0.2903   0.1930   0.0963        0
   1.0000   0.8965   0.7933   0.6908   0.5892   0.4886   0.3892   0.2908   0.1933   0.0965        0
   1.0000   0.8966   0.7936   0.6912   0.5897   0.4891   0.3897   0.2912   0.1936   0.0966        0
   1.0000   0.8968   0.7939   0.6916   0.5901   0.4896   0.3901   0.2916   0.1939   0.0968        0
   1.0000   0.8969   0.7942   0.6920   0.5906   0.4901   0.3906   0.2920   0.1942   0.0969        0
   1.0000   0.8971   0.7945   0.6924   0.5910   0.4906   0.3910   0.2924   0.1945   0.0971        0
   1.0000   0.8972   0.7947   0.6927   0.5915   0.4910   0.3915   0.2927   0.1947   0.0972        0
   1.0000   0.8974   0.7950   0.6931   0.5919   0.4914   0.3919   0.2931   0.1950   0.0974        0
   1.0000   0.8975   0.7952   0.6934   0.5922   0.4918   0.3922   0.2934   0.1952   0.0975        0
   1.0000   0.8976   0.7954   0.6937   0.5926   0.4922   0.3926   0.2937   0.1954   0.0976        0
   1.0000   0.8977   0.7956   0.6940   0.5929   0.4926   0.3929   0.2940   0.1956   0.0977        0
   1.0000   0.8978   0.7958   0.6943   0.5933   0.4929   0.3933   0.2943   0.1958   0.0978        0
   1.0000   0.8979   0.7960   0.6945   0.5936   0.4933   0.3936   0.2945   0.1960   0.0979        0
   1.0000   0.8980   0.7962   0.6948   0.5939   0.4936   0.3939   0.2948   0.1962   0.0980        0
   1.0000   0.8981   0.7964   0.6950   0.5942   0.4939   0.3942   0.2950   0.1964   0.0981        0
   1.0000   0.8982   0.7966   0.6953   0.5944   0.4942   0.3944   0.2953   0.1966   0.0982        0
   1.0000   0.8983   0.7967   0.6955   0.5947   0.4944   0.3947   0.2955   0.1967   0.0983        0
   1.0000   0.8984   0.7969   0.6957   0.5950   0.4947   0.3950   0.2957   0.1969   0.0984        0
   1.0000   0.8984   0.7970   0.6959   0.5952   0.4949   0.3952   0.2959   0.1970   0.0984        0
   1.0000   0.8985   0.7972   0.6961   0.5954   0.4952   0.3954   0.2961   0.1972   0.0985        0
   1.0000   0.8986   0.7973   0.6963   0.5956   0.4954   0.3956   0.2963   0.1973   0.0986        0
   1.0000   0.8986   0.7974   0.6965   0.5958   0.4956   0.3958   0.2965   0.1974   0.0986        0
   1.0000   0.8987   0.7975   0.6966   0.5960   0.4958   0.3960   0.2966   0.1975   0.0987        0
   1.0000   0.8988   0.7977   0.6968   0.5962   0.4960   0.3962   0.2968   0.1977   0.0988        0
   1.0000   0.8988   0.7978   0.6969   0.5964   0.4962   0.3964   0.2969   0.1978   0.0988        0
   1.0000   0.8989   0.7979   0.6971   0.5966   0.4964   0.3966   0.2971   0.1979   0.0989        0
   1.0000   0.8989   0.7980   0.6972   0.5967   0.4965   0.3967   0.2972   0.1980   0.0989        0
   1.0000   0.8990   0.7981   0.6973   0.5969   0.4967   0.3969   0.2973   0.1981   0.0990        0
   1.0000   0.8990   0.7982   0.6975   0.5970   0.4969   0.3970   0.2975   0.1982   0.0990        0
   1.0000   0.8991   0.7982   0.6976   0.5972   0.4970   0.3972   0.2976   0.1982   0.0991        0
   1.0000   0.8991   0.7983   0.6977   0.5973   0.4971   0.3973   0.2977   0.1983   0.0991        0
   1.0000   0.8992   0.7984   0.6978   0.5974   0.4973   0.3974   0.2978   0.1984   0.0992        0
   1.0000   0.8992   0.7985   0.6979   0.5975   0.4974   0.3975   0.2979   0.1985   0.0992        0
   1.0000   0.8992   0.7985   0.6980   0.5976   0.4975   0.3976   0.2980   0.1985   0.0992        0
   1.0000   0.8993   0.7986   0.6981   0.5978   0.4976   0.3978   0.2981   0.1986   0.0993        0
